Respondent ID,What is your gender?,What is your age?,Marital Status,Level of Education,Select work experience in years,Select you a permanent or a contracted staff,Select Management Level,Does the organization experience cases of staff turnover?,"If the answer is yes in Q1, how do you manage staff turnover analysis in the organization? If the answer is no then skip to section 2","If the answer for question 2 is Automated Analysis,  which of the following BI techniques or methods do you use? Otherwise skip to section two.",,,,Staff turnover can lead to overall reduced employee performance?,Staff turnover can lead to low quality of service?,Staff turnover can lead to reduced Customer Satisfaction?,"Staff turnover can lead to Increased employee workload, burnout and stress levels?",Staff turnover can lead to  reduced employee morale?,"Staff turnover can lead to diminished employee collaboration, cohesion and bonds (social capital) ?",Staff turnover can lead to high costs of running the organization?,Staff turnover can lead to reduced organizational profitability?,Use of BI in analysis on staff analysis can lead to Improved prediction of staff turnover in the organization?,Use of BI in analysis of staff turnover can lead to Improved staff recruitment and talent Acquisition approach ?,Use of BI in analysis of staff turnover can lead to effective identification of staffing needs?,Use of BI in analysis of staff turnover can lead to improved efficiency in monitoring staff performance?,Use of BI in analysis of staff turnover can enable identify skill gaps among the organization’s employees?,Use of BI in analysis of staff turnover can lead to improved efficiency in detecting and mitigating workplace employee misconduct?,Use of BI in analysis of staff turnover can enable evaluation of organizational culture and overall employee experience?,The organization is doing enough to ensure the employees undergo training and other professional development activities?,The training opportunities offered by the organization are based on skills gap and improving performance targets?,The organization realigns and provides job promotion opportunities upon completion of training and other professional development opportunities?,I have attended one or more trainings which have led to a promotion ?,The organizational culture encourages employees to collaborate on tasks and decision making?,The organization has a framework that allows collaborative information sharing for accurate decision making in workforce management?,There exist systems with provision to infer data  from other departments to help in strategic decision making,I collaborate with other managers to achieve my work targets ?,The organization has a tool for monitoring and evaluating employee performance?,The organization is supportive in ensuring you achieve your strategic objectives?,The organization has a strategy of rewarding good performance and improving poor performance?,I was able to achieve my departmental targets for the last one year?,The organization has a structure with clear reporting lines ?,The organization’s culture promotes divergent views and opinions and allow room for discussion?,The organization has an effective communication policy ?,I work well with my supervisor?,I understand my career path,My job placement is in line with my career training,My skills are fully recognized and utilized,I see myself working at the Agriculture and Food Authority in the next 2 years ?,The organization has a system for vacancy identification and recruitment process?,"During my job interview, I was able to communicate information about my relevant skills, experience, and career goals?",My department has clear job roles and responsibilities?,"In overall, I was satisfied with the recruiting process for this position?",My salary and allowances are adequate with the position I hold at AFA?,The organization has a system to handle staff grievances?,"The position i hold gives me enough room to balance between family, work, career and other personal engagements?","Overall, I am satisfied with position at AFA?",I make strategic decisions within the organization?,I have enough data and information to support decision making within the department and it is readily available for inference?,The department has a system that allows for high level analysis and visualization of data to support decision-making?,Long term decisions made within your department are based on factual analyzed data?
13311026149,Male,35-44,Married,Bachelor's Degree,2-4,Contracted,Senior Managers,Yes,using excel worksheets,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Dissatisfied,Yes,No,No,No
13311067312,Male,35-44,Married,Bachelor's Degree,2-4,Contracted,Senior Managers,Yes,using excel worksheets,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13311134009,Male,35-44,Married,Bachelor's Degree,5-9,Permanent,Head of Department/Section,Yes,Manual Analysis,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Satisfied,Yes,No,No,No
13312325279,Female,45-54,Married,Bachelor's Degree,Above 15,Permanent,Head of Department/Section,Yes,using excel worksheets,,,,Erp,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Dissatisfied,No,Yes,No,Yes
13312359517,Female,45-54,Single,Bachelor's Degree,Above 15,Permanent,Senior Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13312702289,Male,25-34,Married,Bachelor's Degree,5-9,Permanent,Senior Managers,Yes,Automated Analysis using a BI tool,,,Exploratory Data Analysis,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Satisfied,Yes,Yes,No,No
13313716568,Male,35-44,Married,Bachelor's Degree,Above 15,Permanent,Head of Department/Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13316150501,Male,18-24,Single,Bachelor's Degree,2-4,Contracted,Senior Managers,Yes,Manual Analysis,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Satisfied,No,Yes,Yes,Yes
13318824414,Male,35-44,Married,Master's Degree,10-14,Permanent,Senior Managers,Yes,Automated Analysis using a BI tool,,Data Visualization,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Dissatisfied,Yes,Yes,Yes,Yes
13320766348,Male,35-44,Married,Master's Degree,5-9,Contracted,Head of Directorate,Yes,Manual Analysis,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Dissatisfied,No,Yes,No,No
